"as","rwa","year","yearnum","season","seasonnum","time","timenr","stratum","eff","temp","hist","neighb","soil","catch","effort","cpue"
357,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"medium","control","year-round",0.315589353612167,0.202614379084967,"loam",6,27,0.222222222222222
527,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0,"water",0,2,0
528,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0,"clay",0,2,0
536,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0,"loam",0,16,0
537,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0,"clay",0,23,0
538,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.050314465408805,"clay",0,16,0
545,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0,"loam",0,5,0
546,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.00943396226415094,0,"loam",0,12,0
547,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","decrease","year-round",0.0350877192982456,0,"loam",0,23,0
548,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0377358490566038,0.0425531914893617,"clay",0,4,0
554,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0434782608695652,0.0217391304347826,"water",0,18,0
555,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.102564102564103,0.00671140939597315,"loam",0,7,0
556,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.187698161065314,0,"loam",0,11,0
557,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.115384615384615,0,"clay",0,24,0
558,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0860927152317881,0.0408163265306122,"clay",0,16,0
611,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.0227272727272727,"water",0,0,0
612,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.321041214750542,0.0292553191489362,"loam",4,111,0.036036036036036
613,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.073490813648294,0.0719844357976654,"loam",1,139,0.00719424460431655
614,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0776699029126214,0.0588235294117647,"loam",23,146,0.157534246575342
615,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.1,0.11198738170347,"clay",0,31,0
616,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.234192037470726,0.164510166358595,"water",8,90,0.0888888888888889
617,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.464285714285714,0.293182983085597,"sand",31,44,0.704545454545455
618,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.834645669291339,0.484403669724771,"loam",81,59.5,1.36134453781513
621,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","control","year-round",0.142335766423358,0.0229508196721312,"loam",0,27,0
622,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.350529100529101,0.0310077519379845,"clay",1,80,0.0125
623,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.172248803827751,0.0570613409415121,"clay",9,109,0.0825688073394495
624,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.296442687747036,0.0902696365767878,"sand",0,41,0
625,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.358831710709319,0.0906555090655509,"loam",20,168,0.119047619047619
626,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.190371991247265,0.128040973111396,"clay",9,106,0.0849056603773585
627,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.276807980049875,0.372589735983388,"loam",5,82,0.0609756097560976
628,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.591623036649215,0.613509395632301,"loam",9,40.25,0.22360248447205
631,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.359223300970874,0.0338461538461538,"loam",0,37,0
632,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.144,0.0354330708661417,"clay",2,59,0.0338983050847458
633,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0240963855421687,0.0465444287729196,"peat",0,34,0
634,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.195061728395062,0.068771138669673,"sand",9,91,0.0989010989010989
635,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.178260869565217,0.0659685863874346,"sand",15,135,0.111111111111111
636,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.246676514032496,0.0850869167429094,"clay",1,77,0.012987012987013
637,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.370235934664247,0.224938875305623,"clay",20,154,0.12987012987013
638,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.605177993527508,0.378337147215866,"clay",155,272,0.569852941176471
641,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.132183908045977,0.00709219858156028,"clay",8,41,0.195121951219512
642,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.154761904761905,0.023696682464455,"peat",0,96,0
643,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","control","year-round",0.276967930029155,0.0360750360750361,"peat",0,84,0
644,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","decrease","year-round",0.495033112582781,0.03831891223733,"sand",12,149,0.0805369127516778
645,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.177083333333333,0.0523385300668151,"sand",5,167,0.029940119760479
646,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.11965811965812,0.0582010582010582,"sand",7,156,0.0448717948717949
647,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.367972742759796,0.18515205724508,"sand",12,125,0.096
648,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0923076923076923,0.360801781737194,"sand",9,62,0.145161290322581
651,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0705882352941176,0.0227920227920228,"built-up",0,8,0
652,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0131578947368421,0.0159680638722555,"peat",0,46,0
653,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.152083333333333,0.0224719101123595,"sand",0,113,0
654,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.286858974358974,0.0286944045911047,"sand",2,105,0.019047619047619
655,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.248299319727891,0.0359281437125748,"sand",0,80,0
656,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.114705882352941,0.033214709371293,"sand",1,105,0.00952380952380952
657,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0478468899521531,0.0495867768595041,"sand",1,102,0.00980392156862745
658,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.147093712930012,0.151343705799151,"sand",13,190,0.068421052631579
711,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.706349206349206,0.539449541284404,"loam",58,34,1.70588235294118
712,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.619909502262443,0.704706372344856,"loam",27,33,0.818181818181818
713,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"high","control","year-round",0.689479060265577,0.881862099253404,"clay",186,227,0.819383259911894
714,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"high","decrease","year-round",0.739770867430442,0.862017804154303,"clay",230,128.5,1.78988326848249
715,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.379464285714286,0.965956092904868,"loam",34,54.5,0.623853211009174
716,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0710900473933649,0.583499402152252,"loam",0,23,0
717,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.037940379403794,0.155844155844156,"clay",1,25,0.04
718,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.366812227074236,"water",0,9,0
721,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.543367346938776,0.642770841723721,"clay",52,108,0.481481481481481
722,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"high","increase","year-round",0.471036585365854,0.85663082437276,"clay",84,199.75,0.420525657071339
723,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,1.62145710481263,0.960992907801418,"clay",404,463.25,0.87209929843497
724,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"high","control","year-round",0.774114774114774,1.05963356284281,"clay",134,81.75,1.63914373088685
725,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.427046263345196,1.16733067729084,"clay",217,243,0.893004115226337
726,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.804232804232804,0.708420320111343,"loam",13,82,0.158536585365854
727,"Waterschap Noorderzijlvest","2013",2013,"winter",1,-1.60352682140039,1,"medium","increase","year-round",0.358974358974359,0.319895968790637,"clay",14,70.5,0.198581560283688
728,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.257080610021787,0.542974079126876,"clay",1,16,0.0625
731,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.568548387096774,0.585094549499444,"clay",202,231,0.874458874458874
732,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.796005706134094,0.835607656378789,"clay",182,372,0.489247311827957
733,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,1.21383950024027,0.846316780418922,"clay",801,763.75,1.04877250409165
734,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.731707317073171,1.00242687444118,"clay",253,168.25,1.5037147102526
735,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.838137472283814,0.895765472312704,"clay",145,94,1.54255319148936
736,"Waterschap Hunze en Aa's","2013",2013,"winter",1,-1.60352682140039,1,"high","increase","season",0.514056224899598,0.654407102092581,"clay",70,121,0.578512396694215
737,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.249146757679181,0.467713787085515,"peat",28,87.5,0.32
738,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.204413472706156,0.634245187436677,"peat",10,21,0.476190476190476
741,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.781679389312977,0.556417312984739,"clay",63,181,0.348066298342541
742,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,1.1324533454711,0.688708385768219,"clay",498,563,0.884547069271758
743,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.939393939393939,0.746701846965699,"built-up",177,220,0.804545454545455
744,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.411764705882353,0.794987674609696,"built-up",66,56.5,1.16814159292035
745,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.231259968102073,0.675901963769219,"peat",18,35,0.514285714285714
746,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.293868921775899,0.657931679925129,"sand",54,133.5,0.404494382022472
747,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.229508196721311,0.523693209574988,"sand",27,43,0.627906976744186
748,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.85,0.563157894736842,"clay",79,86,0.918604651162791
751,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.377966101694915,0.483001172332943,"sand",20,92,0.217391304347826
752,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.214876033057851,0.652674897119342,"peat",33,216.5,0.152424942263279
753,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.127118644067797,0.592689295039164,"peat",27,109,0.247706422018349
754,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.170588235294118,0.580162601626016,"built-up",121,404,0.299504950495049
755,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.256,0.424242424242424,"peat",393,640,0.6140625
756,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.225130890052356,0.532336448598131,"sand",8,25,0.32
757,"Waterschap Hunze en Aa's","2013",2013,"winter",1,-1.60352682140039,1,"medium","control","year-round",0.178694158075601,0.521859819569743,"sand",14,23,0.608695652173913
758,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.321428571428571,0.565656565656566,"clay",5,14.75,0.338983050847458
821,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.249554367201426,0.70516717325228,"water",62,90.5,0.685082872928177
822,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.190871369294606,0.9164265129683,"water",8,35.5,0.225352112676056
831,"Waterschap Hunze en Aa's","2013",2013,"winter",1,-1.60352682140039,1,"medium","decrease","year-round",0.483116883116883,0.568062827225131,"clay",84,63,1.33333333333333
832,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.171641791044776,0.615615615615616,"clay",13,20,0.65
833,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.34402332361516,"water",0,0,0
841,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.558441558441558,0.560496380558428,"clay",18,37,0.486486486486487
842,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.333333333333333,0.502786377708978,"clay",26,76,0.342105263157895
843,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.702702702702703,0.355311355311355,"clay",7,31,0.225806451612903
844,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.815789473684211,0.390804597701149,"clay",5,9,0.555555555555556
851,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.362043795620438,0.452733118971061,"peat",28,90.75,0.308539944903581
852,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.574923547400612,0.375266524520256,"loam",26,112,0.232142857142857
853,"Waterschap Hunze en Aa's","2013",2013,"winter",1,-1.60352682140039,1,"medium","increase","year-round",0.222222222222222,0.284280936454849,"clay",27,50,0.54
854,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.276497695852535,0.490196078431373,"clay",0,6,0
953,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.0357142857142857,"built-up",0,16,0
1014,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.196319018404908,0.0735294117647059,"water",1,23,0.0434782608695652
1015,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.161904761904762,0.0506329113924051,"clay",0,11,0
1016,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","control","year-round",0.219594594594595,0.015625,"clay",0,69,0
1017,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.172413793103448,0.00395256916996047,"clay",0,37,0
1018,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.025,0.00357142857142857,"clay",0,19,0
1024,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","increase","season",0.2875,0.0394736842105263,"clay",12,133,0.0902255639097744
1025,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.114942528735632,0.0496083550913838,"clay",3,35,0.0857142857142857
1026,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.102941176470588,0.047244094488189,"clay",0,20,0
1027,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0881057268722467,0.0685840707964602,"clay",0,47,0
1028,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.108490566037736,0.0549682875264271,"clay",1,47,0.0212765957446809
1033,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0,0.0909090909090909,"water",0,11,0
1034,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.226876090750436,0.075,"clay",2,48,0.0416666666666667
1035,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.229166666666667,0.0846846846846847,"clay",0,24,0
1036,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.167259786476868,0.109919571045576,"clay",4,55,0.0727272727272727
1037,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.303030303030303,0.0932203389830508,"clay",11,103,0.106796116504854
1038,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.234521575984991,0.0711159737417943,"clay",15,102,0.147058823529412
1044,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.161030595813205,0.123333333333333,"water",9,72,0.125
1045,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.159645232815965,0.145161290322581,"clay",0,45,0
1046,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.225728155339806,0.134874759152216,"clay",17,147,0.115646258503401
1047,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","decrease","season",0.236190476190476,0.0883218842001963,"peat",51,325,0.156923076923077
1048,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","decrease","year-round",0.165525114155251,0.0957446808510638,"peat",0,201,0
1054,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0833333333333333,0.19281045751634,"water",4,30,0.133333333333333
1055,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.138461538461538,0.26853055916775,"clay",31,142,0.21830985915493
1056,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.213235294117647,0.239189928845101,"peat",32,164,0.195121951219512
1057,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.288617886178862,0.211938663745893,"peat",11,180,0.0611111111111111
1058,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.202127659574468,0.0893000804505229,"water",0,67,0
1111,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.283524904214559,0.0403800475059382,"clay",0,40,0
1112,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.415778251599147,0.0780669144981413,"clay",0,89,0
1113,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.186311787072243,0.0731452455590387,"peat",0,30,0
1114,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.135514018691589,0.0823529411764706,"sand",0,24,0
1115,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0615384615384615,0.0547195622435021,"sand",3,50,0.06
1116,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.182857142857143,0.0528571428571429,"sand",0,79,0
1117,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0228310502283105,0.0327332242225859,"sand",0,84,0
1118,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.133333333333333,0.0707269155206287,"sand",0,46,0
1121,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.114285714285714,0.0742496050552923,"clay",0,61,0
1122,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.239690721649485,0.0820512820512821,"peat",16,135,0.118518518518519
1123,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.167613636363636,0.0769230769230769,"peat",47,374,0.125668449197861
1124,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0868167202572347,0.10410094637224,"peat",5,71,0.0704225352112676
1125,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.136150234741784,0.0884476534296029,"sand",27,197,0.137055837563452
1126,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.034965034965035,0.102831594634873,"sand",5,70,0.0714285714285714
1127,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0786516853932584,0.080078125,"sand",0,12,0
1128,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0625,0.0474452554744526,"sand",0,7,0
1131,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.181268882175227,0.0658536585365854,"water",0,64,0
1132,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.163701067615658,0.0926275992438563,"clay",15,137,0.109489051094891
1133,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.26362484157161,0.114770459081836,"peat",18,180,0.1
1134,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0951276102088167,0.116031886625332,"peat",0,36,0
1135,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.140625,0.144329896907216,"sand",4,60,0.0666666666666667
1136,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.165217391304348,0.117829457364341,"sand",32,164,0.195121951219512
1137,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.325,0.142574257425743,"sand",3,25,0.12
1138,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.26865671641791,0.117647058823529,"sand",1,37,0.027027027027027
1141,"Wetterskip Fryslân","2013",2013,"winter",1,-1.60352682140039,1,"medium","increase","year-round",0.112554112554113,0.107485604606526,"peat",2,66,0.0303030303030303
1142,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.378119001919386,0.200900900900901,"peat",5,71,0.0704225352112676
1143,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.19359756097561,0.224028906955736,"peat",10,107,0.0934579439252336
1144,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.156084656084656,0.205333333333333,"peat",17,71,0.23943661971831
1145,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.197033898305085,0.161290322580645,"sand",3,69,0.0434782608695652
1146,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.568181818181818,0.111913357400722,"sand",23,98,0.23469387755102
1147,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.161290322580645,0.159904534606205,"sand",11,114,0.0964912280701754
1148,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0563380281690141,0.122857142857143,"sand",0,3,0
1151,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.104072398190045,0.112676056338028,"peat",0,33,0
1152,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.155234657039711,0.190900098911968,"peat",77,367,0.209809264305177
1153,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.264204545454545,0.140350877192982,"sand",101,156,0.647435897435897
1154,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.0954773869346734,0.188356164383562,"sand",15,89,0.168539325842697
1155,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.125,0.115537848605578,"sand",3,53,0.0566037735849057
1156,NA,"2013",2013,"winter",1,-1.60352682140039,1,NA,"no experiment",NA,0.213592233009709,0.100952380952381,"sand",6,49,0.122448979591837
